Network,m,beta,mu,SteadyState
graphs/BA-1000.adjlist,5,0.195,1,0.145
graphs/BA-1000.adjlist,6,0.08,1,0.0
graphs/BA-1000.adjlist,6,0.085,1,0.0
graphs/BA-1000.adjlist,6,0.09,1,0.0
graphs/BA-1000.adjlist,6,0.095,1,0.0
graphs/BA-1000.adjlist,6,0.1,1,0.0
graphs/BA-1000.adjlist,6,0.105,1,0.0
graphs/BA-1000.adjlist,6,0.11,1,0.0002
graphs/BA-1000.adjlist,6,0.115,1,0.0022
graphs/BA-1000.adjlist,6,0.12,1,0.0093
graphs/BA-1000.adjlist,6,0.125,1,0.0232
graphs/BA-1000.adjlist,6,0.13,1,0.039
graphs/BA-1000.adjlist,6,0.135,1,0.0491
graphs/BA-1000.adjlist,6,0.14,1,0.0592
graphs/BA-1000.adjlist,6,0.145,1,0.0681
graphs/BA-1000.adjlist,6,0.15,1,0.0789
graphs/BA-1000.adjlist,6,0.155,1,0.0842
graphs/BA-1000.adjlist,6,0.16,1,0.0949
graphs/BA-1000.adjlist,6,0.165,1,0.1037
graphs/BA-1000.adjlist,6,0.17,1,0.1134
graphs/BA-1000.adjlist,6,0.175,1,0.1212
graphs/BA-1000.adjlist,6,0.18,1,0.1278
graphs/BA-1000.adjlist,6,0.185,1,0.1375
graphs/BA-1000.adjlist,6,0.19,1,0.1446
graphs/BA-1000.adjlist,6,0.195,1,0.1521
graphs/BA-1000.adjlist,7,0.08,1,0.0
graphs/BA-1000.adjlist,7,0.085,1,0.0
graphs/BA-1000.adjlist,7,0.09,1,0.0
graphs/BA-1000.adjlist,7,0.095,1,0.0
graphs/BA-1000.adjlist,7,0.1,1,0.0
graphs/BA-1000.adjlist,7,0.105,1,0.0
graphs/BA-1000.adjlist,7,0.11,1,0.0006
graphs/BA-1000.adjlist,7,0.115,1,0.0044
graphs/BA-1000.adjlist,7,0.12,1,0.0142
graphs/BA-1000.adjlist,7,0.125,1,0.027
graphs/BA-1000.adjlist,7,0.13,1,0.0454
graphs/BA-1000.adjlist,7,0.135,1,0.0557
graphs/BA-1000.adjlist,7,0.14,1,0.0658
graphs/BA-1000.adjlist,7,0.145,1,0.0743
graphs/BA-1000.adjlist,7,0.15,1,0.0825
graphs/BA-1000.adjlist,7,0.155,1,0.0918
graphs/BA-1000.adjlist,7,0.16,1,0.1022
graphs/BA-1000.adjlist,7,0.165,1,0.1088
graphs/BA-1000.adjlist,7,0.17,1,0.1167
graphs/BA-1000.adjlist,7,0.175,1,0.1266
graphs/BA-1000.adjlist,7,0.18,1,0.1341
graphs/BA-1000.adjlist,7,0.185,1,0.144
graphs/BA-1000.adjlist,7,0.19,1,0.1514
graphs/BA-1000.adjlist,7,0.195,1,0.1585
graphs/BA-1000.adjlist,8,0.08,1,0.0
graphs/BA-1000.adjlist,8,0.085,1,0.0
graphs/BA-1000.adjlist,8,0.09,1,0.0
graphs/BA-1000.adjlist,8,0.095,1,0.0
graphs/BA-1000.adjlist,8,0.1,1,0.0
graphs/BA-1000.adjlist,8,0.105,1,0.0001
graphs/BA-1000.adjlist,8,0.11,1,0.0001
graphs/BA-1000.adjlist,8,0.115,1,0.0058
graphs/BA-1000.adjlist,8,0.12,1,0.0191
graphs/BA-1000.adjlist,8,0.125,1,0.0352
graphs/BA-1000.adjlist,8,0.13,1,0.0483
graphs/BA-1000.adjlist,8,0.135,1,0.0591
graphs/BA-1000.adjlist,8,0.14,1,0.069
graphs/BA-1000.adjlist,8,0.145,1,0.0806
graphs/BA-1000.adjlist,8,0.15,1,0.0884
graphs/BA-1000.adjlist,8,0.155,1,0.0989
graphs/BA-1000.adjlist,8,0.16,1,0.1054
graphs/BA-1000.adjlist,8,0.165,1,0.1149
graphs/BA-1000.adjlist,8,0.17,1,0.1228
graphs/BA-1000.adjlist,8,0.175,1,0.1345
graphs/BA-1000.adjlist,8,0.18,1,0.1403
graphs/BA-1000.adjlist,8,0.185,1,0.1487
graphs/BA-1000.adjlist,8,0.19,1,0.1589
graphs/BA-1000.adjlist,8,0.195,1,0.1647
graphs/BA-1000.adjlist,9,0.08,1,0.0
graphs/BA-1000.adjlist,9,0.085,1,0.0
graphs/BA-1000.adjlist,9,0.09,1,0.0
graphs/BA-1000.adjlist,9,0.095,1,0.0
graphs/BA-1000.adjlist,9,0.1,1,0.0
graphs/BA-1000.adjlist,9,0.105,1,0.0001
graphs/BA-1000.adjlist,9,0.11,1,0.0019
graphs/BA-1000.adjlist,9,0.115,1,0.0087
graphs/BA-1000.adjlist,9,0.12,1,0.0227
graphs/BA-1000.adjlist,9,0.125,1,0.0418
graphs/BA-1000.adjlist,9,0.13,1,0.0528
graphs/BA-1000.adjlist,9,0.135,1,0.0657
graphs/BA-1000.adjlist,9,0.14,1,0.0755
graphs/BA-1000.adjlist,9,0.145,1,0.0841
graphs/BA-1000.adjlist,9,0.15,1,0.0947
graphs/BA-1000.adjlist,9,0.155,1,0.1057
graphs/BA-1000.adjlist,9,0.16,1,0.1142
graphs/BA-1000.adjlist,9,0.165,1,0.1227
graphs/BA-1000.adjlist,9,0.17,1,0.1319
graphs/BA-1000.adjlist,9,0.175,1,0.1376
graphs/BA-1000.adjlist,9,0.18,1,0.149
graphs/BA-1000.adjlist,9,0.185,1,0.1582
graphs/BA-1000.adjlist,9,0.19,1,0.1649
graphs/BA-1000.adjlist,9,0.195,1,0.1753
graphs/BA-1000.adjlist,10,0.08,1,0.0
graphs/BA-1000.adjlist,10,0.085,1,0.0
graphs/BA-1000.adjlist,10,0.09,1,0.0
graphs/BA-1000.adjlist,10,0.095,1,0.0
graphs/BA-1000.adjlist,10,0.1,1,0.0
graphs/BA-1000.adjlist,10,0.105,1,0.0
graphs/BA-1000.adjlist,10,0.11,1,0.0026
graphs/BA-1000.adjlist,10,0.115,1,0.0137
graphs/BA-1000.adjlist,10,0.12,1,0.0291
graphs/BA-1000.adjlist,10,0.125,1,0.0472
graphs/BA-1000.adjlist,10,0.13,1,0.0587
graphs/BA-1000.adjlist,10,0.135,1,0.0697
graphs/BA-1000.adjlist,10,0.14,1,0.0785
graphs/BA-1000.adjlist,10,0.145,1,0.0903
graphs/BA-1000.adjlist,10,0.15,1,0.1002
graphs/BA-1000.adjlist,10,0.155,1,0.1102
graphs/BA-1000.adjlist,10,0.16,1,0.1187
graphs/BA-1000.adjlist,10,0.165,1,0.1282
graphs/BA-1000.adjlist,10,0.17,1,0.1384
graphs/BA-1000.adjlist,10,0.175,1,0.1448
graphs/BA-1000.adjlist,10,0.18,1,0.157
graphs/BA-1000.adjlist,10,0.185,1,0.1626
graphs/BA-1000.adjlist,10,0.19,1,0.1726
graphs/BA-1000.adjlist,10,0.195,1,0.1803
graphs/BA-1000.adjlist,11,0.08,1,0.0
graphs/BA-1000.adjlist,11,0.085,1,0.0
graphs/BA-1000.adjlist,11,0.09,1,0.0
graphs/BA-1000.adjlist,11,0.095,1,0.0
graphs/BA-1000.adjlist,11,0.1,1,0.0003
graphs/BA-1000.adjlist,11,0.105,1,0.0007
graphs/BA-1000.adjlist,11,0.11,1,0.0053
graphs/BA-1000.adjlist,11,0.115,1,0.0199
