Network,m,beta,mu,SteadyState
graphs/WS-1000.adjlist,5,0.22,1,0.0319
graphs/WS-1000.adjlist,5,0.225,1,0.0537
graphs/WS-1000.adjlist,5,0.23,1,0.0748
graphs/WS-1000.adjlist,5,0.235,1,0.0936
graphs/WS-1000.adjlist,5,0.24,1,0.1089
graphs/WS-1000.adjlist,5,0.245,1,0.1252
graphs/WS-1000.adjlist,5,0.25,1,0.1385
graphs/WS-1000.adjlist,5,0.255,1,0.1512
graphs/WS-1000.adjlist,5,0.26,1,0.1636
graphs/WS-1000.adjlist,5,0.265,1,0.1795
graphs/WS-1000.adjlist,5,0.27,1,0.1885
graphs/WS-1000.adjlist,5,0.275,1,0.2005
graphs/WS-1000.adjlist,5,0.28,1,0.2145
graphs/WS-1000.adjlist,5,0.285,1,0.2212
graphs/WS-1000.adjlist,5,0.29,1,0.2333
graphs/WS-1000.adjlist,5,0.295,1,0.2413
graphs/WS-1000.adjlist,5,0.3,1,0.2521
graphs/WS-1000.adjlist,5,0.305,1,0.2604
graphs/WS-1000.adjlist,5,0.31,1,0.2669
graphs/WS-1000.adjlist,5,0.315,1,0.2743
graphs/WS-1000.adjlist,6,0.16,1,0.0
graphs/WS-1000.adjlist,6,0.165,1,0.0
graphs/WS-1000.adjlist,6,0.17,1,0.0
graphs/WS-1000.adjlist,6,0.175,1,0.0
graphs/WS-1000.adjlist,6,0.18,1,0.0
graphs/WS-1000.adjlist,6,0.185,1,0.0
graphs/WS-1000.adjlist,6,0.19,1,0.0
graphs/WS-1000.adjlist,6,0.195,1,0.0003
graphs/WS-1000.adjlist,6,0.2,1,0.0026
graphs/WS-1000.adjlist,6,0.205,1,0.0099
graphs/WS-1000.adjlist,6,0.21,1,0.0244
graphs/WS-1000.adjlist,6,0.215,1,0.0494
graphs/WS-1000.adjlist,6,0.22,1,0.0737
graphs/WS-1000.adjlist,6,0.225,1,0.0899
graphs/WS-1000.adjlist,6,0.23,1,0.1047
graphs/WS-1000.adjlist,6,0.235,1,0.123
graphs/WS-1000.adjlist,6,0.24,1,0.1379
graphs/WS-1000.adjlist,6,0.245,1,0.1509
graphs/WS-1000.adjlist,6,0.25,1,0.1662
graphs/WS-1000.adjlist,6,0.255,1,0.1762
graphs/WS-1000.adjlist,6,0.26,1,0.1891
graphs/WS-1000.adjlist,6,0.265,1,0.1995
graphs/WS-1000.adjlist,6,0.27,1,0.2098
graphs/WS-1000.adjlist,6,0.275,1,0.2206
graphs/WS-1000.adjlist,6,0.28,1,0.2314
graphs/WS-1000.adjlist,6,0.285,1,0.2395
graphs/WS-1000.adjlist,6,0.29,1,0.2481
graphs/WS-1000.adjlist,6,0.295,1,0.2585
