Network,m,beta,mu,SteadyState
graphs/ER-1000.adjlist,12,0.165,1,0.162
graphs/ER-1000.adjlist,12,0.17,1,0.1747
graphs/ER-1000.adjlist,12,0.175,1,0.1895
graphs/ER-1000.adjlist,12,0.18,1,0.2008
graphs/ER-1000.adjlist,12,0.185,1,0.2105
graphs/ER-1000.adjlist,12,0.19,1,0.2208
graphs/ER-1000.adjlist,12,0.195,1,0.2324
graphs/ER-1000.adjlist,13,0.14,1,0.0817
graphs/ER-1000.adjlist,13,0.145,1,0.0917
graphs/ER-1000.adjlist,13,0.15,1,0.1251
graphs/ER-1000.adjlist,13,0.155,1,0.1404
graphs/ER-1000.adjlist,13,0.16,1,0.1532
graphs/ER-1000.adjlist,13,0.165,1,0.1688
graphs/ER-1000.adjlist,13,0.17,1,0.1841
graphs/ER-1000.adjlist,13,0.175,1,0.197
graphs/ER-1000.adjlist,13,0.18,1,0.2039
graphs/ER-1000.adjlist,13,0.185,1,0.2144
graphs/ER-1000.adjlist,13,0.19,1,0.2269
graphs/ER-1000.adjlist,13,0.195,1,0.2386
graphs/ER-1000.adjlist,14,0.14,1,0.0958
graphs/ER-1000.adjlist,14,0.145,1,0.1099
graphs/ER-1000.adjlist,14,0.15,1,0.1338
graphs/ER-1000.adjlist,14,0.155,1,0.1486
graphs/ER-1000.adjlist,14,0.16,1,0.1664
graphs/ER-1000.adjlist,14,0.165,1,0.1795
graphs/ER-1000.adjlist,14,0.17,1,0.1907
graphs/ER-1000.adjlist,14,0.175,1,0.2042
graphs/ER-1000.adjlist,14,0.18,1,0.2158
graphs/ER-1000.adjlist,14,0.185,1,0.2265
graphs/ER-1000.adjlist,14,0.19,1,0.2389
graphs/ER-1000.adjlist,14,0.195,1,0.2472
graphs/ER-1000.adjlist,15,0.14,1,0.1058
graphs/ER-1000.adjlist,15,0.145,1,0.1247
graphs/ER-1000.adjlist,15,0.15,1,0.1379
graphs/ER-1000.adjlist,15,0.155,1,0.1483
graphs/ER-1000.adjlist,15,0.16,1,0.1706
graphs/ER-1000.adjlist,15,0.165,1,0.1829
graphs/ER-1000.adjlist,15,0.17,1,0.1961
graphs/ER-1000.adjlist,15,0.175,1,0.2081
graphs/ER-1000.adjlist,15,0.18,1,0.2254
graphs/ER-1000.adjlist,15,0.185,1,0.2288
graphs/ER-1000.adjlist,15,0.19,1,0.2462
graphs/ER-1000.adjlist,15,0.195,1,0.2547
