Network,m,beta,mu,SteadyState
../BA-1000,12,0.165,1,0.143
../BA-1000,12,0.17,1,0.1446
../BA-1000,12,0.175,1,0.1613
../BA-1000,12,0.18,1,0.1694
../BA-1000,12,0.185,1,0.1678
../BA-1000,12,0.19,1,0.1798
../BA-1000,12,0.195,1,0.1948
../BA-1000,12,0.2,1,0.2008
../BA-1000,13,0.145,1,0.1012
../BA-1000,13,0.15,1,0.1169
../BA-1000,13,0.155,1,0.1232
../BA-1000,13,0.16,1,0.1307
../BA-1000,13,0.165,1,0.1503
../BA-1000,13,0.17,1,0.1593
../BA-1000,13,0.175,1,0.1596
../BA-1000,13,0.18,1,0.1692
../BA-1000,13,0.185,1,0.1838
../BA-1000,13,0.19,1,0.1919
../BA-1000,13,0.195,1,0.1957
../BA-1000,13,0.2,1,0.2038
../BA-1000,14,0.145,1,0.1052
../BA-1000,14,0.15,1,0.1168
../BA-1000,14,0.155,1,0.1243
../BA-1000,14,0.16,1,0.1406
../BA-1000,14,0.165,1,0.1532
../BA-1000,14,0.17,1,0.1538
../BA-1000,14,0.175,1,0.1625
../BA-1000,14,0.18,1,0.1796
../BA-1000,14,0.185,1,0.185
../BA-1000,14,0.19,1,0.199
../BA-1000,14,0.195,1,0.2059
../BA-1000,14,0.2,1,0.2042
../BA-1000,15,0.145,1,0.108
../BA-1000,15,0.15,1,0.1231
../BA-1000,15,0.155,1,0.1298
../BA-1000,15,0.16,1,0.1516
../BA-1000,15,0.165,1,0.1473
../BA-1000,15,0.17,1,0.1721
../BA-1000,15,0.175,1,0.18
../BA-1000,15,0.18,1,0.1887
../BA-1000,15,0.185,1,0.193
../BA-1000,15,0.19,1,0.1956
../BA-1000,15,0.195,1,0.213
../BA-1000,15,0.2,1,0.2214
